,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
0,USA,Paddling,57,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
1,BRAZIL,Swimming,18,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
2,USA,Walking,15,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
3,AUSTRALIA,Feeding sharks,34,N,Adult,nurse shark,10.0,0.0,0.0,0.0,10.0
4,COSTA RICA,Scuba diving,30,N,Adult,tiger shark,0.0,0.0,0.0,100.0,100.0
5,MALDIVES,Fishing,32,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
6,SOUTH AFRICA,Paddle-skiing,33,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
7,THAILAND,Swimming,54,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
8,BAHAMAS,Swimming,12,N,Child,bull shark,0.0,20.0,0.0,0.0,20.0
9,SOUTH AFRICA,Surfing,19,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
10,USA,Stand-Up Paddleboarding,25,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
11,AUSTRALIA,Swimming,55,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
12,AUSTRALIA,Walking,35,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
13,ECUADOR,Snorkeling,45,N,Adult,galapagos shark,0.0,20.0,0.0,0.0,20.0
14,AUSTRALIA,,18,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
15,NEW CALEDONIA,Spearfishing,40,N,Adult,bull shark,10.0,0.0,50.0,0.0,60.0
16,AUSTRALIA,Free diving,28,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
17,USA,Surfing,54,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
18,MALAYSIA,Fishing / Wading,24,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
19,COSTA RICA,Scuba Diving,26,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
20,COSTA RICA,Scuba diving,49,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
21,USA,Spearfishing,25,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
22,CUBA,Night bathing,22,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
23,AUSTRALIA,Kayaking / Fishing,15,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
24,USA,Surfing,54,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
25,AUSTRALIA,Surfing,35,N,Adult,white shark,0.0,0.0,50.0,0.0,50.0
26,AUSTRALIA,Surfing,37,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
27,USA,SUP,69,N,Senior,white shark,0.0,0.0,0.0,0.0,0.0
28,USA,Kayaking,40,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
29,USA,SUP,50,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
30,USA,Swimming,46,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
31,MEXICO,Fishing,32,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
32,SOUTH AFRICA,Surfing,13,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
33,USA,Swimming,14,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
34,REUNION,Body boarding,34,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
35,AUSTRALIA,Body boarding,48,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
36,BAHAMAS,Snorkeling,32,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
37,AUSTRALIA,Surfing,17,Y,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
38,USA,Surfing,28,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
